SL No.,Current Month's Usage,Last 3 Month's Usage,Average Recharge, Projected Growth,Circle
1,5.1,3.5,99.4,99.2,A
2,4.9,3,98.6,99.2,A
3,,3.2,,99.2,A
4,4.6,3.1,98.5,9..2,A
5,5,,98.4,99.2,A
6,5.4,3.9,98.3,99.4,A
7,7,3.2,95.3,98.4.,B
8,6.4,3.2,95.5,98.5,B
9,6.9,3.1,95.1,98.5,B
10,,2.3,96,98.3,B
11,6.5,2.8,95.4,98.5,B
12,5.7,,95.5,98.3,B
13,6.3,3.3,,98.6,B
14,6.7,3.3,94.3,97.5,C
15,6.7,3,94.8,97.3,C
16,6.3,2.5,95,98.9,C
17,,3,94.8,98,C
18,6.2,3.4,94.6,97.3,C
19,5.9,3,94.9,98.8,C
