Month,Sales
Jan-02,164
Feb-02,148
Mar-02,152
Apr-02,144
May-02,155
Jun-02,125
Jul-02,153
Aug-02,146
Sep-02,138
Oct-02,190
Nov-02,192
Dec-02,192
Jan-03,147
Feb-03,133
Mar-03,163
Apr-03,150
May-03,129
Jun-03,131
Jul-03,145
Aug-03,137
Sep-03,138
Oct-03,168
Nov-03,176
Dec-03,188
Jan-04,139
Feb-04,143
Mar-04,150
Apr-04,154
May-04,137
Jun-04,129
Jul-04,128
Aug-04,140
Sep-04,143
Oct-04,151
Nov-04,177
Dec-04,184
Jan-05,151
Feb-05,134
Mar-05,164
Apr-05,126
May-05,131
Jun-05,125
Jul-05,127
Aug-05,143
Sep-05,143
Oct-05,160
Nov-05,190
Dec-05,182
